============================= test session starts ==============================
platform darwin -- Python 3.13.11, pytest-9.0.2, pluggy-1.6.0 -- /Users/francois-jeandazin/AETHERFLOW/venv/bin/python3.13
cachedir: .pytest_cache
rootdir: /Users/francois-jeandazin/AETHERFLOW/Backend/Prod
configfile: pytest.ini
plugins: anyio-4.12.1, asyncio-1.3.0, cov-7.0.0
asyncio: mode=Mode.AUTO, debug=False, asyncio_default_fixture_loop_scope=None, asyncio_default_test_loop_scope=function
collecting ... collected 247 items

Backend/Prod/tests/test_accessibility_evaluator.py::test_preview_empty_component FAILED [  0%]
Backend/Prod/tests/test_accessibility_evaluator.py::test_preview_component_with_special_chars FAILED [  0%]
Backend/Prod/tests/test_accessibility_evaluator.py::test_preview_component_with_missing_file FAILED [  1%]
Backend/Prod/tests/test_accessibility_evaluator.py::test_preview_component_with_corrupted_json FAILED [  1%]
Backend/Prod/tests/test_accessibility_evaluator.py::test_preview_component_with_multiple_components FAILED [  2%]
Backend/Prod/tests/test_accessibility_evaluator.py::test_preview_component_with_xss_attack FAILED [  2%]
Backend/Prod/tests/test_accessibility_evaluator.py::test_preview_component_with_invalid_user_id FAILED [  2%]
Backend/Prod/tests/test_accessibility_evaluator.py::test_preview_component_with_duplicate_components FAILED [  3%]
Backend/Prod/tests/test_accessibility_evaluator.py::test_preview_component_with_dynamic_base_url FAILED [  3%]
Backend/Prod/tests/test_api_preview.py::test_preview_component_exists FAILED [  4%]
Backend/Prod/tests/test_api_preview.py::test_preview_component_not_found FAILED [  4%]
Backend/Prod/tests/test_api_preview.py::test_preview_list FAILED         [  4%]
Backend/Prod/tests/test_api_preview.py::test_render_component PASSED     [  5%]
Backend/Prod/tests/test_api_preview.py::test_render_component_not_found PASSED [  5%]
Backend/Prod/tests/test_api_preview.py::test_preview_empty_component FAILED [  6%]
Backend/Prod/tests/test_api_preview.py::test_preview_component_with_special_chars FAILED [  6%]
Backend/Prod/tests/test_api_preview.py::test_preview_component_with_missing_file FAILED [  6%]
Backend/Prod/tests/test_api_preview.py::test_preview_component_with_corrupted_json FAILED [  7%]
Backend/Prod/tests/test_api_preview.py::test_preview_component_with_multiple_components FAILED [  7%]
Backend/Prod/tests/test_api_preview.py::test_preview_component_with_xss_attack FAILED [  8%]
Backend/Prod/tests/test_api_preview.py::test_preview_component_with_invalid_user_id FAILED [  8%]
Backend/Prod/tests/test_api_preview.py::test_preview_component_with_duplicate_components FAILED [  8%]
Backend/Prod/tests/test_api_preview.py::test_preview_component_with_dynamic_base_url FAILED [  9%]
Backend/Prod/tests/test_apply_phase.py::test_split_structure_and_code_empty PASSED [  9%]
Backend/Prod/tests/test_apply_phase.py::test_split_structure_and_code_no_structure PASSED [ 10%]
Backend/Prod/tests/test_apply_phase.py::test_split_structure_and_code_file_tree_block PASSED [ 10%]
Backend/Prod/tests/test_apply_phase.py::test_split_structure_and_code_structure_block PASSED [ 10%]
Backend/Prod/tests/test_apply_phase.py::test_split_structure_and_code_tree_lines_unicode PASSED [ 11%]
Backend/Prod/tests/test_apply_phase.py::test_split_structure_and_code_single_tree_line_ignored PASSED [ 11%]
Backend/Prod/tests/test_apply_phase.py::test_get_step_output_prefers_code_txt PASSED [ 12%]
Backend/Prod/tests/test_apply_phase.py::test_get_step_output_fallback_to_txt PASSED [ 12%]
Backend/Prod/tests/test_apply_phase.py::test_get_step_output_missing_returns_none PASSED [ 12%]
Backend/Prod/tests/test_apply_phase.py::test_get_step_output_default_output_dir PASSED [ 13%]
Backend/Prod/tests/test_apply_phase.py::test_save_step_outputs_writes_code_and_structure PASSED [ 13%]
Backend/Prod/tests/test_apply_phase.py::test_save_step_outputs_no_structure_no_structure_file PASSED [ 14%]
Backend/Prod/tests/test_backend_analyzer.py::test_preview_empty_component FAILED [ 14%]
Backend/Prod/tests/test_backend_analyzer.py::test_preview_component_with_special_chars FAILED [ 14%]
Backend/Prod/tests/test_backend_analyzer.py::test_preview_component_with_missing_file FAILED [ 15%]
Backend/Prod/tests/test_backend_analyzer.py::test_preview_component_with_corrupted_json FAILED [ 15%]
